ID,Latitude,Longitude,TelemDate,AID,Attribute
308,41.81787,-109.00856,4/22/2015 5:31,Jet,Winter range
309,41.82445,-109.01307,4/22/2015 8:16,Jet,Winter range
310,41.82443,-109.01304,4/22/2015 11:01,Jet,Winter range
311,41.82542,-109.0159,4/22/2015 13:45,Jet,Winter range
312,41.82611,-109.01565,4/22/2015 16:31,Jet,Winter range
313,41.83008,-109.01265,4/22/2015 19:16,Jet,Winter range
314,41.82939,-109.01081,4/22/2015 22:01,Jet,Winter range
315,41.8293,-109.00735,4/23/2015 0:31,Jet,Winter range
316,41.82865,-109.00527,4/23/2015 3:16,Jet,Winter range
317,41.82825,-109.00476,4/23/2015 6:01,Jet,Winter range
318,41.82825,-109.00279,4/23/2015 8:46,Jet,Winter range
319,41.83012,-109.00477,4/23/2015 11:31,Jet,Winter range
320,41.86654,-109.00932,4/23/2015 14:16,Jet,Migration
321,41.89645,-109.01213,4/23/2015 17:01,Jet,Migration
322,41.90892,-109.00757,4/23/2015 19:46,Jet,Migration
323,41.91107,-109.00866,4/23/2015 22:31,Jet,Migration
324,41.91271,-109.00498,4/24/2015 1:01,Jet,Migration
325,41.91335,-109.00557,4/24/2015 3:46,Jet,Migration
326,41.92369,-109.01531,4/24/2015 6:31,Jet,Migration
327,41.92427,-109.01641,4/24/2015 9:16,Jet,Migration
328,41.92332,-109.01774,4/24/2015 12:01,Jet,Migration
329,41.92255,-109.01658,4/24/2015 14:46,Jet,Migration
330,41.92194,-109.01668,4/24/2015 17:31,Jet,Migration
331,41.91947,-109.01362,4/24/2015 20:16,Jet,Migration
332,41.91947,-109.01364,4/24/2015 23:01,Jet,Migration
333,41.92029,-109.01351,4/25/2015 1:31,Jet,Migration
334,41.92197,-109.01537,4/25/2015 4:16,Jet,Migration
335,41.92408,-109.02009,4/25/2015 7:01,Jet,Migration
336,41.94049,-108.99478,4/25/2015 9:46,Jet,Migration
337,41.95476,-108.98546,4/25/2015 12:31,Jet,Migration
338,41.96148,-108.97753,4/25/2015 15:16,Jet,Migration
339,41.96592,-108.97785,4/25/2015 18:01,Jet,Migration
340,41.97155,-108.96867,4/25/2015 20:46,Jet,Migration
341,41.97145,-108.96885,4/25/2015 23:31,Jet,Migration
342,41.97319,-108.97253,4/26/2015 2:00,Jet,Migration
343,41.97703,-108.97932,4/26/2015 4:46,Jet,Migration
344,41.97565,-108.98417,4/26/2015 7:31,Jet,Migration
345,42.00797,-109.00172,4/26/2015 13:01,Jet,Migration
346,42.00789,-109.00366,4/26/2015 15:46,Jet,Migration
347,42.01425,-108.9995,4/26/2015 18:31,Jet,Migration
348,42.0576,-108.96479,4/26/2015 21:16,Jet,Migration
349,42.09574,-108.95109,4/26/2015 23:46,Jet,Migration
